0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 2.727737913419952531e-01
3.095032183637972389e-01 9.920353585932577545e-01 1.063105631312673660e+00 -9.920353585932577545e-01 2.590951740781237134e-01
6.017339225014919357e-01 9.682683053985071675e-01 1.125959705067717476e+00 -9.682683053985071675e-01 3.235875882564206996e-01
8.700030588532312592e-01 9.290774325277305623e-01 1.188311666489717755e+00 -9.290774325277305623e-01 2.503205098705124088e-01
1.108421963137226074e+00 8.750870224785937124e-01 1.249912962370308467e+00 -8.750870224785937124e-01 2.342716651557050778e-01
1.312023090882503906e+00 8.071571037619853506e-01 1.310518031874168710e+00 -8.071571037619853506e-01 2.572547121255652769e-01
1.476854219363096687e+00 7.263697512646394294e-01 1.369885285416546861e+00 -7.263697512646394294e-01 2.332177362185601510e-01
1.600044616156725441e+00 6.340118495722386616e-01 1.427778067710209653e+00 -6.340118495722386616e-01 1.565222633854327361e-01
1.679842409492401378e+00 5.315545938209014221e-01 1.483965601142838819e+00 -5.315545938209014221e-01 1.573463470906135420e-01
1.715623131406810220e+00 4.206300546137841656e-01 1.538223905724288576e+00 -4.206300546137841656e-01 1.337742509612110942e-01
1.707870118430547812e+00 3.030051803068727345e-01 1.590336691936528268e+00 -3.030051803068727345e-01 1.352178564455241427e-01
1.658128129113413340e+00 1.805536507889023146e-01 1.640096222927107217e+00 -1.805536507889023146e-01 8.567237210658633362e-02
1.568932157708317732e+00 5.522603110450816782e-02 1.687304142609184154e+00 -5.522603110450816782e-02 6.024114872815690414e-02
1.443713975131480920e+00 -7.098129964801599967e-02 1.731772266367076707e+00 7.098129964801599967e-02 2.215218498196404665e-02
1.286689400378403070e+00 -1.960579492039780103e-01 1.773323331215339138e+00 1.960579492039780103e-01 -2.674899523230429149e-02
1.102729688706320932e+00 -3.180115362392381129e-01 1.811791702421020833e+00 3.180115362392381129e-01 -9.671192042086543261e-02
8.972207103849936249e-01 -4.348994275757929739e-01 1.847024033772298957e+00 4.348994275757929739e-01 -1.222914733672135906e-01
6.759137815324698373e-01 -5.448596829350704773e-01 1.878879878861460462e+00 5.448596829350704773e-01 -1.653243240531746538e-01
4.447720949506173138e-01 -6.461407143112098961e-01 1.907232250945481322e+00 6.461407143112098961e-01 -1.986632626015092107e-01
2.098166849691927016e-01 -7.371291875117788051e-01 1.931968129152434877e+00 7.371291875117788051e-01 -2.416658693957267623e-01
-2.302425044151721820e-02 -8.163757214143990693e-01 1.952988909015839214e+00 8.163757214143990693e-01 -2.798182676830101578e-01
-2.480590488724980780e-01 -8.826179755685469308e-01 1.970210795540986215e+00 8.826179755685469308e-01 -2.787904720388685864e-01
-4.599659676906396877e-01 -9.348007583735982173e-01 1.983565137236369846e+00 9.348007583735982173e-01 -3.188241169981187451e-01
-6.539132757138955698e-01 -9.720928355242569596e-01 1.992998699778669724e+00 9.720928355242569596e-01 -3.540029677154911125e-01
